Date,Open,High,Low,Close,Adj Close,Volume
2019-01-15,64.500000,65.529999,64.190002,65.510002,63.669548,146300
2019-01-16,65.720001,66.889999,64.930000,66.750000,64.874710,112400
2019-01-17,66.389999,66.629997,65.089996,65.220001,63.387695,85400
2019-01-18,66.080002,66.080002,64.410004,64.790001,62.969780,54900
2019-01-22,64.000000,64.489998,63.290001,63.939999,62.143654,75100
2019-01-23,64.169998,64.910004,63.349998,63.939999,62.143654,53000
2019-01-24,64.010002,64.660004,63.349998,63.889999,62.095058,55100
2019-01-25,64.089996,64.760002,63.630001,63.860001,62.065903,45600
2019-01-28,63.070000,63.660000,62.160000,62.410000,60.656639,146500
2019-01-29,62.980000,63.020000,61.720001,62.040001,60.297031,58300
2019-01-30,62.459999,62.459999,60.860001,61.200001,59.480637,75600
2019-01-31,61.380001,62.830002,61.160000,62.189999,60.442818,80500
2019-02-01,62.470001,63.070000,62.169998,62.450001,60.695515,76400
2019-02-04,62.160000,62.740002,62.160000,62.459999,60.705235,36900
2019-02-05,62.630001,63.419998,62.520000,63.200001,61.424446,80800
2019-02-06,62.490002,64.040001,62.490002,63.630001,61.842365,87400
2019-02-07,63.520000,64.070000,63.150002,63.660000,61.871521,47600
2019-02-08,63.500000,63.680000,62.369999,62.720001,60.957932,57700
2019-02-11,62.310001,62.820000,61.240002,61.470001,59.743046,76400
2019-02-12,61.950001,62.209999,61.130001,61.910000,60.170685,91500
2019-02-13,62.240002,62.240002,60.220001,60.560001,58.858616,88200
2019-02-14,60.369999,61.320000,59.799999,60.810001,59.101589,76600
2019-02-15,60.830002,61.459999,60.400002,61.290001,59.568104,75700
2019-02-19,60.869999,61.730000,60.299999,60.520000,58.819736,101000
2019-02-20,60.630001,60.910000,60.330002,60.549999,58.848892,69700
2019-02-21,60.250000,61.200001,60.209999,61.150002,59.432041,181200
2019-02-22,61.270000,62.360001,60.790001,61.200001,59.480637,138000
2019-02-25,61.630001,62.560001,60.810001,61.040001,59.325127,85100
2019-02-26,61.209999,62.419998,61.009998,61.720001,59.986027,108800
2019-02-27,61.220001,62.070000,60.349998,61.470001,59.743046,119600
2019-02-28,61.549999,61.549999,60.259998,60.380001,58.683670,85100
2019-03-01,60.380001,60.650002,59.720001,60.279999,58.586475,83400
2019-03-04,60.400002,60.439999,59.779999,60.259998,58.567039,50900
2019-03-05,60.380001,60.599998,59.720001,60.040001,58.353226,39200
2019-03-06,59.880001,60.240002,59.500000,59.939999,58.256031,55800
2019-03-07,59.820000,59.900002,58.189999,58.290001,56.652390,75300
2019-03-08,58.290001,60.020000,57.889999,59.540001,57.867271,87800
2019-03-11,59.880001,60.500000,59.389999,60.419998,58.722546,60900
2019-03-12,60.869999,62.080002,60.419998,60.610001,58.907211,85300
2019-03-13,60.680000,61.070000,60.660000,60.990002,59.276535,51300
2019-03-14,60.860001,61.220001,60.209999,60.380001,58.683670,60000
2019-03-15,61.320000,62.500000,60.750000,62.099998,60.355347,131500
2019-03-18,62.349998,63.160000,62.349998,63.090000,61.317535,28400
2019-03-19,63.029999,64.190002,63.029999,63.259998,61.482758,126200
2019-03-20,62.259998,66.000000,62.259998,65.169998,63.339096,142200
2019-03-21,64.790001,66.239998,64.790001,64.989998,63.164150,95400
2019-03-22,64.129997,64.489998,62.669998,63.000000,61.230064,103200
2019-03-25,63.189999,64.669998,62.950001,64.400002,62.590733,61100
2019-03-26,64.889999,65.330002,64.660004,65.169998,63.339096,58900
2019-03-27,64.379997,65.029999,63.959999,64.139999,62.338036,132600
2019-03-28,64.750000,65.760002,63.570000,65.279999,63.446003,143400
2019-03-29,65.559998,66.190002,65.389999,66.000000,64.145775,163300
2019-04-01,66.739998,66.820000,66.019997,66.570000,64.699760,101400
2019-04-02,66.940002,66.940002,65.839996,66.320000,64.456795,89400
2019-04-03,66.199997,66.820000,66.019997,66.099998,64.242966,83300
2019-04-04,65.940002,66.930000,65.489998,66.750000,64.874710,90200
2019-04-05,67.000000,68.260002,66.949997,68.019997,66.109024,38700
2019-04-08,67.860001,68.690002,67.830002,68.510002,66.585266,42800
2019-04-09,69.000000,69.000000,67.339996,67.699997,65.798019,157300
2019-04-10,68.320000,68.320000,66.900002,67.199997,65.312065,64300
2019-04-11,66.889999,67.269997,66.019997,66.139999,64.281853,32100
